launch_id,invocations,grid_size,cycles,dram_kb,l1_req,l2_req
1,5,20.000000,,327.526400,1653.800000,8065.800000
2,5,21.000000,1817.005556,313.036800,1687.600000,7724.000000
3,3,23.000000,1894.440741,308.224000,1774.333333,7485.666667
4,10,24.000000,2096.820988,305.676800,1726.400000,7441.900000
5,7,25.000000,2192.470370,302.555429,1639.428571,7296.142857
6,12,26.000000,2254.765873,316.309333,1688.250000,7765.750000
7,3,27.000000,2268.456790,321.024000,1700.666667,7948.666667
8,3,28.000000,2277.333333,330.112000,1832.666667,8265.666667
9,2,29.000000,2544.086420,339.584000,1900.500000,8594.000000
10,2,14.000000,2680.791667,5.312000,227.000000,43.500000
11,31,16.000000,305.189815,5.561806,259.000000,50.580645
