launch_id,invocations,grid_size,cycles,dram_kb,l1_req,l2_req
1,3,24.000000,2342.768519,545.450667,2727.333333,13855.000000
2,3,28.000000,2675.808642,627.498667,3008.333333,15913.000000
3,3,30.000000,2957.685185,673.109333,3249.666667,17008.333333
4,5,32.000000,2888.840741,572.441600,2913.200000,14629.400000
5,6,35.000000,3241.660494,737.301333,3566.166667,18453.500000
6,6,36.000000,3373.294753,741.162667,3732.666667,18709.833333
7,2,40.000000,3556.986111,849.984000,4047.000000,21034.500000
8,1,42.000000,3577.379630,789.248000,3851.000000,19994.000000
9,2,44.000000,4103.050926,984.000000,4685.000000,24136.000000
10,2,45.000000,3830.421296,883.584000,4371.000000,22035.000000
11,1,48.000000,4448.287037,1042.02,5029.000000,24732.000000
12,2,50.000000,4151.921296,916.160000,4634.000000,22966.500000
13,1,52.000000,4790.629630,1069.55,5316.000000,25730.000000
14,1,54.000000,5074.333333,1270.09,6073.000000,30495.000000
15,2,56.000000,5130.314815,1145.77,5612.500000,27756.000000
16,2,60.000000,5370.560185,1252.46,5965.000000,30510.500000
17,1,68.000000,6100.814815,1274.15,6443.000000,31980.000000
18,1,72.000000,6416.546296,1383.86,6748.000000,34000.000000
19,1,90.000000,8060.564815,1554.25,8036.000000,38753.000000
